Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,Classification,CIK
FENC,Fennec Pharmaceuticals Inc.,9.79,183992927.14,,,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/fenc,microcap,1211583
FFBW,"FFBW, Inc.",11.255,74423687.5,,2017.0,Finance,Savings Institutions,https://www.nasdaq.com/symbol/ffbw,microcap,1709017
FDBC,"Fidelity D & D Bancorp, Inc.",59.25,222306296.25,,,Finance,Major Banks,https://www.nasdaq.com/symbol/fdbc,microcap,1098151
FNJN,"Finjan Holdings, Inc.",4.34,118239654.4,,,Miscellaneous,Multi-Sector Companies,https://www.nasdaq.com/symbol/fnjn,microcap,1366340
FRBA,First Bank,14.35,267833221.6,,2013.0,,,https://www.nasdaq.com/symbol/frba,microcap,
FBIZ,"First Business Financial Services, Inc.",21.83,191233048.49,,,Finance,Major Banks,https://www.nasdaq.com/symbol/fbiz,microcap,1521951
FCAP,"First Capital, Inc.",40.19,134883427.36,,,Finance,Savings Institutions,https://www.nasdaq.com/symbol/fcap,microcap,1070296
FCBP,First Choice Bancorp,27.59,198819885.7,,,Finance,Major Banks,https://www.nasdaq.com/symbol/fcbp,microcap,
FCCO,First Community Corporation,25.9,196970872.7,,,Finance,Major Banks,https://www.nasdaq.com/symbol/fcco,microcap,932781
FFNW,"First Financial Northwest, Inc.",17.62,192314476.72,,,Finance,Major Banks,https://www.nasdaq.com/symbol/ffnw,microcap,1401564
FGBI,"First Guaranty Bancshares, Inc.",25.9,228105832.5,,,Finance,Savings Institutions,https://www.nasdaq.com/symbol/fgbi,microcap,
FNWB,First Northwest Bancorp,16.67,191461918.06,,2015.0,Finance,Banks,https://www.nasdaq.com/symbol/fnwb,microcap,1556727
FSFG,"First Savings Financial Group, Inc.",67.7,155169821.7,,,Finance,Savings Institutions,https://www.nasdaq.com/symbol/fsfg,microcap,1435508
FMY,First Trust,13.36,56287216.4,,2005.0,,,https://www.nasdaq.com/symbol/fmy,microcap,
BICK,First Trust BICK Index Fund,26.411,200723652.822,,,,,https://www.nasdaq.com/symbol/bick,microcap,
FTHI,First Trust BuyWrite Income ETF,23.41,68455545.41,,,,,https://www.nasdaq.com/symbol/fthi,microcap,
